# BEST random-per-pixel fusion
# L2=0.087043, trial=197, ref=Exact
# i,point,x,t,lambda
147,y1,1.0000000000,0.8166670000,0.25
148,y2,0.0000000000,0.8222220000,1.00
148,gt2,0.1430000000,0.8222220000,0.00
148,gt1,0.5710000000,0.8222220000,0.00
148,y1,1.0000000000,0.8222220000,0.00
149,y2,0.0000000000,0.8277780000,0.00
149,gt2,0.1430000000,0.8277780000,1.00
149,gt1,0.5710000000,0.8277780000,0.00
149,y1,1.0000000000,0.8277780000,0.75
150,y2,0.0000000000,0.8333330000,0.50
150,gt2,0.1430000000,0.8333330000,0.50
150,gt1,0.5710000000,0.8333330000,0.00
150,y1,1.0000000000,0.8333330000,0.00
151,y2,0.0000000000,0.8388890000,0.50
151,gt2,0.1430000000,0.8388890000,0.75
151,gt1,0.5710000000,0.8388890000,0.75
151,y1,1.0000000000,0.8388890000,0.75
152,y2,0.0000000000,0.8444440000,0.50
152,gt2,0.1430000000,0.8444440000,0.00
152,gt1,0.5710000000,0.8444440000,1.00
152,y1,1.0000000000,0.8444440000,0.25
153,y2,0.0000000000,0.8500000000,0.75
153,gt2,0.1430000000,0.8500000000,0.75
153,gt1,0.5710000000,0.8500000000,1.00
153,y1,1.0000000000,0.8500000000,1.00
154,y2,0.0000000000,0.8555560000,1.00
154,gt2,0.1430000000,0.8555560000,0.25
154,gt1,0.5710000000,0.8555560000,0.75
154,y1,1.0000000000,0.8555560000,0.50
155,y2,0.0000000000,0.8611110000,0.50
155,gt2,0.1430000000,0.8611110000,0.75
155,gt1,0.5710000000,0.8611110000,1.00
155,y1,1.0000000000,0.8611110000,0.50
156,y2,0.0000000000,0.8666670000,0.00
156,gt2,0.1430000000,0.8666670000,0.25
156,gt1,0.5710000000,0.8666670000,0.25
156,y1,1.0000000000,0.8666670000,1.00
157,y2,0.0000000000,0.8722220000,1.00
157,gt2,0.1430000000,0.8722220000,0.50
157,gt1,0.5710000000,0.8722220000,0.00
157,y1,1.0000000000,0.8722220000,0.75
158,y2,0.0000000000,0.8777780000,1.00
158,gt2,0.1430000000,0.8777780000,0.50
158,gt1,0.5710000000,0.8777780000,0.25
158,y1,1.0000000000,0.8777780000,0.00
159,y2,0.0000000000,0.8833330000,0.75
159,gt2,0.1430000000,0.8833330000,0.50
159,gt1,0.5710000000,0.8833330000,0.25
159,y1,1.0000000000,0.8833330000,0.25
160,y2,0.0000000000,0.8888890000,0.75
160,gt2,0.1430000000,0.8888890000,0.00
160,gt1,0.5710000000,0.8888890000,0.75
160,y1,1.0000000000,0.8888890000,0.00
161,y2,0.0000000000,0.8944440000,1.00
161,gt2,0.1430000000,0.8944440000,1.00
161,gt1,0.5710000000,0.8944440000,0.00
161,y1,1.0000000000,0.8944440000,1.00
162,y2,0.0000000000,0.9000000000,0.50
162,gt2,0.1430000000,0.9000000000,0.00
162,gt1,0.5710000000,0.9000000000,0.25
162,y1,1.0000000000,0.9000000000,0.75
163,y2,0.0000000000,0.9055560000,0.00
163,gt2,0.1430000000,0.9055560000,0.50
163,gt1,0.5710000000,0.9055560000,0.25
163,y1,1.0000000000,0.9055560000,0.50
164,y2,0.0000000000,0.9111110000,0.00
164,gt2,0.1430000000,0.9111110000,0.00
164,gt1,0.5710000000,0.9111110000,1.00
164,y1,1.0000000000,0.9111110000,1.00
165,y2,0.0000000000,0.9166670000,1.00
165,gt2,0.1430000000,0.9166670000,0.50
165,gt1,0.5710000000,0.9166670000,1.00
165,y1,1.0000000000,0.9166670000,0.75
166,y2,0.0000000000,0.9222220000,0.50
166,gt2,0.1430000000,0.9222220000,1.00
166,gt1,0.5710000000,0.9222220000,1.00
166,y1,1.0000000000,0.9222220000,1.00
167,y2,0.0000000000,0.9277780000,1.00
167,gt2,0.1430000000,0.9277780000,0.00
167,gt1,0.5710000000,0.9277780000,1.00
167,y1,1.0000000000,0.9277780000,0.25
168,y2,0.0000000000,0.9333330000,0.75
168,gt2,0.1430000000,0.9333330000,0.50
168,gt1,0.5710000000,0.9333330000,0.25
168,y1,1.0000000000,0.9333330000,0.50
169,y2,0.0000000000,0.9388890000,0.50
169,gt2,0.1430000000,0.9388890000,1.00
169,gt1,0.5710000000,0.9388890000,1.00
169,y1,1.0000000000,0.9388890000,0.50
170,y2,0.0000000000,0.9444440000,0.00
170,gt2,0.1430000000,0.9444440000,0.75
170,gt1,0.5710000000,0.9444440000,1.00
170,y1,1.0000000000,0.9444440000,0.50
171,y2,0.0000000000,0.9500000000,0.25
171,gt2,0.1430000000,0.9500000000,0.25
171,gt1,0.5710000000,0.9500000000,0.50
171,y1,1.0000000000,0.9500000000,0.25
172,y2,0.0000000000,0.9555560000,0.25
172,gt2,0.1430000000,0.9555560000,0.25
172,gt1,0.5710000000,0.9555560000,0.00
172,y1,1.0000000000,0.9555560000,0.75
173,y2,0.0000000000,0.9611110000,0.25
173,gt2,0.1430000000,0.9611110000,0.00
173,gt1,0.5710000000,0.9611110000,0.75
173,y1,1.0000000000,0.9611110000,0.25
174,y2,0.0000000000,0.9666670000,0.00
174,gt2,0.1430000000,0.9666670000,0.75
174,gt1,0.5710000000,0.9666670000,0.75
174,y1,1.0000000000,0.9666670000,0.00
175,y2,0.0000000000,0.9722220000,0.75
175,gt2,0.1430000000,0.9722220000,0.50
175,gt1,0.5710000000,0.9722220000,0.00
175,y1,1.0000000000,0.9722220000,0.50
176,y2,0.0000000000,0.9777780000,1.00
176,gt2,0.1430000000,0.9777780000,0.00
176,gt1,0.5710000000,0.9777780000,0.50
176,y1,1.0000000000,0.9777780000,0.00
177,y2,0.0000000000,0.9833330000,0.25
177,gt2,0.1430000000,0.9833330000,0.75
177,gt1,0.5710000000,0.9833330000,0.50
177,y1,1.0000000000,0.9833330000,0.50
178,y2,0.0000000000,0.9888890000,0.50
178,gt2,0.1430000000,0.9888890000,0.75
178,gt1,0.5710000000,0.9888890000,0.50
178,y1,1.0000000000,0.9888890000,0.75
179,y2,0.0000000000,0.9944440000,1.00
179,gt2,0.1430000000,0.9944440000,0.50
179,gt1,0.5710000000,0.9944440000,0.00
179,y1,1.0000000000,0.9944440000,0.50
