# BEST random-per-pixel fusion
# L2=0.089034, trial=76, ref=Exact
# i,point,x,t,lambda
147,y1,1.0000000000,0.3266670000,0.00
148,y2,0.0000000000,0.3288890000,1.00
148,gt2,0.1430000000,0.3288890000,1.00
148,gt1,0.5710000000,0.3288890000,1.00
148,y1,1.0000000000,0.3288890000,0.75
149,y2,0.0000000000,0.3311110000,0.75
149,gt2,0.1430000000,0.3311110000,1.00
149,gt1,0.5710000000,0.3311110000,0.00
149,y1,1.0000000000,0.3311110000,0.00
150,y2,0.0000000000,0.3333330000,0.75
150,gt2,0.1430000000,0.3333330000,0.00
150,gt1,0.5710000000,0.3333330000,0.25
150,y1,1.0000000000,0.3333330000,0.50
151,y2,0.0000000000,0.3355560000,1.00
151,gt2,0.1430000000,0.3355560000,0.00
151,gt1,0.5710000000,0.3355560000,1.00
151,y1,1.0000000000,0.3355560000,0.00
152,y2,0.0000000000,0.3377780000,0.75
152,gt2,0.1430000000,0.3377780000,0.00
152,gt1,0.5710000000,0.3377780000,0.75
152,y1,1.0000000000,0.3377780000,0.00
153,y2,0.0000000000,0.3400000000,1.00
153,gt2,0.1430000000,0.3400000000,0.00
153,gt1,0.5710000000,0.3400000000,0.50
153,y1,1.0000000000,0.3400000000,0.25
154,y2,0.0000000000,0.3422220000,0.50
154,gt2,0.1430000000,0.3422220000,0.50
154,gt1,0.5710000000,0.3422220000,0.75
154,y1,1.0000000000,0.3422220000,0.00
155,y2,0.0000000000,0.3444440000,0.00
155,gt2,0.1430000000,0.3444440000,0.75
155,gt1,0.5710000000,0.3444440000,0.00
155,y1,1.0000000000,0.3444440000,0.75
156,y2,0.0000000000,0.3466670000,0.00
156,gt2,0.1430000000,0.3466670000,0.25
156,gt1,0.5710000000,0.3466670000,0.50
156,y1,1.0000000000,0.3466670000,0.25
157,y2,0.0000000000,0.3488890000,0.50
157,gt2,0.1430000000,0.3488890000,1.00
157,gt1,0.5710000000,0.3488890000,0.50
157,y1,1.0000000000,0.3488890000,0.25
158,y2,0.0000000000,0.3511110000,0.00
158,gt2,0.1430000000,0.3511110000,1.00
158,gt1,0.5710000000,0.3511110000,1.00
158,y1,1.0000000000,0.3511110000,0.25
159,y2,0.0000000000,0.3533330000,0.00
159,gt2,0.1430000000,0.3533330000,0.00
159,gt1,0.5710000000,0.3533330000,0.75
159,y1,1.0000000000,0.3533330000,1.00
160,y2,0.0000000000,0.3555560000,0.00
160,gt2,0.1430000000,0.3555560000,0.75
160,gt1,0.5710000000,0.3555560000,0.50
160,y1,1.0000000000,0.3555560000,0.75
161,y2,0.0000000000,0.3577780000,0.75
161,gt2,0.1430000000,0.3577780000,0.50
161,gt1,0.5710000000,0.3577780000,0.50
161,y1,1.0000000000,0.3577780000,1.00
162,y2,0.0000000000,0.3600000000,0.25
162,gt2,0.1430000000,0.3600000000,0.00
162,gt1,0.5710000000,0.3600000000,0.75
162,y1,1.0000000000,0.3600000000,0.00
163,y2,0.0000000000,0.3622220000,0.75
163,gt2,0.1430000000,0.3622220000,0.00
163,gt1,0.5710000000,0.3622220000,1.00
163,y1,1.0000000000,0.3622220000,0.75
164,y2,0.0000000000,0.3644440000,1.00
164,gt2,0.1430000000,0.3644440000,0.25
164,gt1,0.5710000000,0.3644440000,0.50
164,y1,1.0000000000,0.3644440000,0.75
165,y2,0.0000000000,0.3666670000,1.00
165,gt2,0.1430000000,0.3666670000,0.00
165,gt1,0.5710000000,0.3666670000,0.50
165,y1,1.0000000000,0.3666670000,0.25
166,y2,0.0000000000,0.3688890000,0.25
166,gt2,0.1430000000,0.3688890000,0.00
166,gt1,0.5710000000,0.3688890000,0.50
166,y1,1.0000000000,0.3688890000,1.00
167,y2,0.0000000000,0.3711110000,1.00
167,gt2,0.1430000000,0.3711110000,0.75
167,gt1,0.5710000000,0.3711110000,0.00
167,y1,1.0000000000,0.3711110000,0.00
168,y2,0.0000000000,0.3733330000,0.75
168,gt2,0.1430000000,0.3733330000,0.75
168,gt1,0.5710000000,0.3733330000,0.00
168,y1,1.0000000000,0.3733330000,0.50
169,y2,0.0000000000,0.3755560000,1.00
169,gt2,0.1430000000,0.3755560000,1.00
169,gt1,0.5710000000,0.3755560000,0.75
169,y1,1.0000000000,0.3755560000,0.00
170,y2,0.0000000000,0.3777780000,0.25
170,gt2,0.1430000000,0.3777780000,0.00
170,gt1,0.5710000000,0.3777780000,0.00
170,y1,1.0000000000,0.3777780000,0.00
171,y2,0.0000000000,0.3800000000,1.00
171,gt2,0.1430000000,0.3800000000,1.00
171,gt1,0.5710000000,0.3800000000,0.75
171,y1,1.0000000000,0.3800000000,1.00
172,y2,0.0000000000,0.3822220000,0.50
172,gt2,0.1430000000,0.3822220000,0.00
172,gt1,0.5710000000,0.3822220000,0.75
172,y1,1.0000000000,0.3822220000,0.50
173,y2,0.0000000000,0.3844440000,0.00
173,gt2,0.1430000000,0.3844440000,0.75
173,gt1,0.5710000000,0.3844440000,0.25
173,y1,1.0000000000,0.3844440000,0.00
174,y2,0.0000000000,0.3866670000,0.00
174,gt2,0.1430000000,0.3866670000,0.00
174,gt1,0.5710000000,0.3866670000,0.50
174,y1,1.0000000000,0.3866670000,0.00
175,y2,0.0000000000,0.3888890000,0.50
175,gt2,0.1430000000,0.3888890000,0.75
175,gt1,0.5710000000,0.3888890000,0.75
175,y1,1.0000000000,0.3888890000,1.00
176,y2,0.0000000000,0.3911110000,1.00
176,gt2,0.1430000000,0.3911110000,0.00
176,gt1,0.5710000000,0.3911110000,0.25
176,y1,1.0000000000,0.3911110000,0.00
177,y2,0.0000000000,0.3933330000,0.25
177,gt2,0.1430000000,0.3933330000,0.50
177,gt1,0.5710000000,0.3933330000,1.00
177,y1,1.0000000000,0.3933330000,0.50
178,y2,0.0000000000,0.3955560000,0.25
178,gt2,0.1430000000,0.3955560000,0.25
178,gt1,0.5710000000,0.3955560000,0.75
178,y1,1.0000000000,0.3955560000,0.25
179,y2,0.0000000000,0.3977780000,0.75
179,gt2,0.1430000000,0.3977780000,0.00
179,gt1,0.5710000000,0.3977780000,1.00
179,y1,1.0000000000,0.3977780000,0.25
180,y2,0.0000000000,0.4000000000,1.00
180,gt2,0.1430000000,0.4000000000,1.00
180,gt1,0.5710000000,0.4000000000,0.50
180,y1,1.0000000000,0.4000000000,0.50
181,y2,0.0000000000,0.4022220000,0.25
181,gt2,0.1430000000,0.4022220000,1.00
181,gt1,0.5710000000,0.4022220000,1.00
181,y1,1.0000000000,0.4022220000,1.00
182,y2,0.0000000000,0.4044440000,1.00
182,gt2,0.1430000000,0.4044440000,0.50
182,gt1,0.5710000000,0.4044440000,0.50
182,y1,1.0000000000,0.4044440000,1.00
183,y2,0.0000000000,0.4066670000,0.50
183,gt2,0.1430000000,0.4066670000,0.00
183,gt1,0.5710000000,0.4066670000,0.00
183,y1,1.0000000000,0.4066670000,0.75
184,y2,0.0000000000,0.4088890000,1.00
184,gt2,0.1430000000,0.4088890000,1.00
184,gt1,0.5710000000,0.4088890000,0.25
184,y1,1.0000000000,0.4088890000,0.75
185,y2,0.0000000000,0.4111110000,0.75
185,gt2,0.1430000000,0.4111110000,0.50
185,gt1,0.5710000000,0.4111110000,0.75
185,y1,1.0000000000,0.4111110000,0.75
186,y2,0.0000000000,0.4133330000,0.00
186,gt2,0.1430000000,0.4133330000,0.00
186,gt1,0.5710000000,0.4133330000,0.25
186,y1,1.0000000000,0.4133330000,0.25
187,y2,0.0000000000,0.4155560000,0.75
187,gt2,0.1430000000,0.4155560000,0.25
187,gt1,0.5710000000,0.4155560000,0.75
187,y1,1.0000000000,0.4155560000,0.00
188,y2,0.0000000000,0.4177780000,0.50
188,gt2,0.1430000000,0.4177780000,0.75
188,gt1,0.5710000000,0.4177780000,0.75
188,y1,1.0000000000,0.4177780000,0.75
189,y2,0.0000000000,0.4200000000,0.75
189,gt2,0.1430000000,0.4200000000,1.00
189,gt1,0.5710000000,0.4200000000,0.50
189,y1,1.0000000000,0.4200000000,0.75
190,y2,0.0000000000,0.4222220000,0.25
190,gt2,0.1430000000,0.4222220000,1.00
190,gt1,0.5710000000,0.4222220000,0.25
190,y1,1.0000000000,0.4222220000,0.00
191,y2,0.0000000000,0.4244440000,0.00
191,gt2,0.1430000000,0.4244440000,0.00
191,gt1,0.5710000000,0.4244440000,1.00
191,y1,1.0000000000,0.4244440000,0.25
192,y2,0.0000000000,0.4266670000,0.00
192,gt2,0.1430000000,0.4266670000,0.00
192,gt1,0.5710000000,0.4266670000,0.50
192,y1,1.0000000000,0.4266670000,0.75
193,y2,0.0000000000,0.4288890000,0.00
193,gt2,0.1430000000,0.4288890000,0.50
193,gt1,0.5710000000,0.4288890000,0.50
193,y1,1.0000000000,0.4288890000,1.00
194,y2,0.0000000000,0.4311110000,0.00
194,gt2,0.1430000000,0.4311110000,0.00
194,gt1,0.5710000000,0.4311110000,0.25
194,y1,1.0000000000,0.4311110000,1.00
195,y2,0.0000000000,0.4333330000,0.00
195,gt2,0.1430000000,0.4333330000,0.75
195,gt1,0.5710000000,0.4333330000,0.50
195,y1,1.0000000000,0.4333330000,1.00
196,y2,0.0000000000,0.4355560000,0.25
196,gt2,0.1430000000,0.4355560000,0.50
196,gt1,0.5710000000,0.4355560000,0.50
196,y1,1.0000000000,0.4355560000,0.25
197,y2,0.0000000000,0.4377780000,0.25
197,gt2,0.1430000000,0.4377780000,0.75
197,gt1,0.5710000000,0.4377780000,0.00
197,y1,1.0000000000,0.4377780000,1.00
198,y2,0.0000000000,0.4400000000,1.00
198,gt2,0.1430000000,0.4400000000,0.00
198,gt1,0.5710000000,0.4400000000,1.00
198,y1,1.0000000000,0.4400000000,0.50
199,y2,0.0000000000,0.4422220000,1.00
199,gt2,0.1430000000,0.4422220000,0.25
199,gt1,0.5710000000,0.4422220000,1.00
199,y1,1.0000000000,0.4422220000,0.50
200,y2,0.0000000000,0.4444440000,0.50
200,gt2,0.1430000000,0.4444440000,0.50
200,gt1,0.5710000000,0.4444440000,0.75
200,y1,1.0000000000,0.4444440000,0.25
201,y2,0.0000000000,0.4466670000,0.00
201,gt2,0.1430000000,0.4466670000,0.00
201,gt1,0.5710000000,0.4466670000,1.00
201,y1,1.0000000000,0.4466670000,0.00
202,y2,0.0000000000,0.4488890000,0.00
202,gt2,0.1430000000,0.4488890000,0.00
202,gt1,0.5710000000,0.4488890000,0.25
202,y1,1.0000000000,0.4488890000,0.00
203,y2,0.0000000000,0.4511110000,0.50
203,gt2,0.1430000000,0.4511110000,0.00
203,gt1,0.5710000000,0.4511110000,0.25
203,y1,1.0000000000,0.4511110000,0.50
204,y2,0.0000000000,0.4533330000,0.50
204,gt2,0.1430000000,0.4533330000,0.50
204,gt1,0.5710000000,0.4533330000,0.00
204,y1,1.0000000000,0.4533330000,0.00
205,y2,0.0000000000,0.4555560000,0.75
205,gt2,0.1430000000,0.4555560000,0.00
205,gt1,0.5710000000,0.4555560000,0.25
205,y1,1.0000000000,0.4555560000,0.25
206,y2,0.0000000000,0.4577780000,0.00
206,gt2,0.1430000000,0.4577780000,0.00
206,gt1,0.5710000000,0.4577780000,0.00
206,y1,1.0000000000,0.4577780000,0.25
207,y2,0.0000000000,0.4600000000,0.75
207,gt2,0.1430000000,0.4600000000,0.00
207,gt1,0.5710000000,0.4600000000,1.00
207,y1,1.0000000000,0.4600000000,0.00
208,y2,0.0000000000,0.4622220000,0.00
208,gt2,0.1430000000,0.4622220000,0.75
208,gt1,0.5710000000,0.4622220000,1.00
208,y1,1.0000000000,0.4622220000,0.00
209,y2,0.0000000000,0.4644440000,0.75
209,gt2,0.1430000000,0.4644440000,0.50
209,gt1,0.5710000000,0.4644440000,0.75
209,y1,1.0000000000,0.4644440000,1.00
210,y2,0.0000000000,0.4666670000,0.75
210,gt2,0.1430000000,0.4666670000,0.00
210,gt1,0.5710000000,0.4666670000,0.25
210,y1,1.0000000000,0.4666670000,0.25
211,y2,0.0000000000,0.4688890000,0.75
211,gt2,0.1430000000,0.4688890000,0.75
211,gt1,0.5710000000,0.4688890000,0.50
211,y1,1.0000000000,0.4688890000,0.00
212,y2,0.0000000000,0.4711110000,0.00
212,gt2,0.1430000000,0.4711110000,0.50
212,gt1,0.5710000000,0.4711110000,1.00
212,y1,1.0000000000,0.4711110000,0.75
213,y2,0.0000000000,0.4733330000,0.00
213,gt2,0.1430000000,0.4733330000,1.00
213,gt1,0.5710000000,0.4733330000,0.25
213,y1,1.0000000000,0.4733330000,1.00
214,y2,0.0000000000,0.4755560000,1.00
214,gt2,0.1430000000,0.4755560000,0.00
214,gt1,0.5710000000,0.4755560000,0.00
214,y1,1.0000000000,0.4755560000,1.00
215,y2,0.0000000000,0.4777780000,0.00
215,gt2,0.1430000000,0.4777780000,0.00
215,gt1,0.5710000000,0.4777780000,0.50
215,y1,1.0000000000,0.4777780000,0.50
216,y2,0.0000000000,0.4800000000,0.50
216,gt2,0.1430000000,0.4800000000,0.50
216,gt1,0.5710000000,0.4800000000,0.25
216,y1,1.0000000000,0.4800000000,0.00
217,y2,0.0000000000,0.4822220000,0.25
217,gt2,0.1430000000,0.4822220000,0.25
217,gt1,0.5710000000,0.4822220000,0.50
217,y1,1.0000000000,0.4822220000,0.75
218,y2,0.0000000000,0.4844440000,0.00
218,gt2,0.1430000000,0.4844440000,0.25
218,gt1,0.5710000000,0.4844440000,1.00
218,y1,1.0000000000,0.4844440000,0.75
219,y2,0.0000000000,0.4866670000,0.50
219,gt2,0.1430000000,0.4866670000,1.00
219,gt1,0.5710000000,0.4866670000,0.50
219,y1,1.0000000000,0.4866670000,0.00
220,y2,0.0000000000,0.4888890000,1.00
220,gt2,0.1430000000,0.4888890000,0.00
220,gt1,0.5710000000,0.4888890000,0.75
220,y1,1.0000000000,0.4888890000,0.25
221,y2,0.0000000000,0.4911110000,0.75
221,gt2,0.1430000000,0.4911110000,0.00
221,gt1,0.5710000000,0.4911110000,0.25
221,y1,1.0000000000,0.4911110000,0.00
222,y2,0.0000000000,0.4933330000,0.50
222,gt2,0.1430000000,0.4933330000,0.50
222,gt1,0.5710000000,0.4933330000,0.25
222,y1,1.0000000000,0.4933330000,0.75
223,y2,0.0000000000,0.4955560000,0.00
223,gt2,0.1430000000,0.4955560000,0.75
223,gt1,0.5710000000,0.4955560000,0.00
223,y1,1.0000000000,0.4955560000,0.00
224,y2,0.0000000000,0.4977780000,0.25
224,gt2,0.1430000000,0.4977780000,0.50
224,gt1,0.5710000000,0.4977780000,1.00
224,y1,1.0000000000,0.4977780000,0.75
225,y2,0.0000000000,0.5000000000,0.25
225,gt2,0.1430000000,0.5000000000,0.75
225,gt1,0.5710000000,0.5000000000,1.00
225,y1,1.0000000000,0.5000000000,0.50
226,y2,0.0000000000,0.5022220000,0.75
226,gt2,0.1430000000,0.5022220000,0.50
226,gt1,0.5710000000,0.5022220000,0.50
226,y1,1.0000000000,0.5022220000,0.75
227,y2,0.0000000000,0.5044440000,0.75
227,gt2,0.1430000000,0.5044440000,0.25
227,gt1,0.5710000000,0.5044440000,0.00
227,y1,1.0000000000,0.5044440000,0.00
228,y2,0.0000000000,0.5066670000,1.00
228,gt2,0.1430000000,0.5066670000,0.00
228,gt1,0.5710000000,0.5066670000,1.00
228,y1,1.0000000000,0.5066670000,0.50
229,y2,0.0000000000,0.5088890000,1.00
229,gt2,0.1430000000,0.5088890000,0.75
229,gt1,0.5710000000,0.5088890000,0.75
229,y1,1.0000000000,0.5088890000,0.50
230,y2,0.0000000000,0.5111110000,0.50
230,gt2,0.1430000000,0.5111110000,0.00
230,gt1,0.5710000000,0.5111110000,0.25
230,y1,1.0000000000,0.5111110000,1.00
231,y2,0.0000000000,0.5133330000,0.50
231,gt2,0.1430000000,0.5133330000,0.25
231,gt1,0.5710000000,0.5133330000,1.00
231,y1,1.0000000000,0.5133330000,0.00
232,y2,0.0000000000,0.5155560000,0.75
232,gt2,0.1430000000,0.5155560000,0.75
232,gt1,0.5710000000,0.5155560000,0.75
232,y1,1.0000000000,0.5155560000,0.00
233,y2,0.0000000000,0.5177780000,1.00
233,gt2,0.1430000000,0.5177780000,1.00
233,gt1,0.5710000000,0.5177780000,0.75
233,y1,1.0000000000,0.5177780000,0.75
234,y2,0.0000000000,0.5200000000,0.50
234,gt2,0.1430000000,0.5200000000,0.25
234,gt1,0.5710000000,0.5200000000,1.00
234,y1,1.0000000000,0.5200000000,0.25
235,y2,0.0000000000,0.5222220000,0.75
235,gt2,0.1430000000,0.5222220000,0.00
235,gt1,0.5710000000,0.5222220000,0.00
235,y1,1.0000000000,0.5222220000,0.50
236,y2,0.0000000000,0.5244440000,0.00
236,gt2,0.1430000000,0.5244440000,0.50
236,gt1,0.5710000000,0.5244440000,0.50
236,y1,1.0000000000,0.5244440000,0.00
237,y2,0.0000000000,0.5266670000,0.75
237,gt2,0.1430000000,0.5266670000,0.75
237,gt1,0.5710000000,0.5266670000,0.00
237,y1,1.0000000000,0.5266670000,0.25
238,y2,0.0000000000,0.5288890000,1.00
238,gt2,0.1430000000,0.5288890000,0.00
238,gt1,0.5710000000,0.5288890000,0.75
238,y1,1.0000000000,0.5288890000,0.25
239,y2,0.0000000000,0.5311110000,0.75
239,gt2,0.1430000000,0.5311110000,0.00
239,gt1,0.5710000000,0.5311110000,1.00
239,y1,1.0000000000,0.5311110000,1.00
240,y2,0.0000000000,0.5333330000,0.50
240,gt2,0.1430000000,0.5333330000,0.50
240,gt1,0.5710000000,0.5333330000,0.75
240,y1,1.0000000000,0.5333330000,1.00
241,y2,0.0000000000,0.5355560000,0.75
241,gt2,0.1430000000,0.5355560000,0.75
241,gt1,0.5710000000,0.5355560000,0.50
241,y1,1.0000000000,0.5355560000,0.00
242,y2,0.0000000000,0.5377780000,0.00
242,gt2,0.1430000000,0.5377780000,0.00
242,gt1,0.5710000000,0.5377780000,0.00
242,y1,1.0000000000,0.5377780000,0.50
243,y2,0.0000000000,0.5400000000,0.25
243,gt2,0.1430000000,0.5400000000,0.00
243,gt1,0.5710000000,0.5400000000,0.50
243,y1,1.0000000000,0.5400000000,0.75
244,y2,0.0000000000,0.5422220000,0.25
244,gt2,0.1430000000,0.5422220000,1.00
244,gt1,0.5710000000,0.5422220000,0.25
244,y1,1.0000000000,0.5422220000,0.25
245,y2,0.0000000000,0.5444440000,1.00
245,gt2,0.1430000000,0.5444440000,1.00
245,gt1,0.5710000000,0.5444440000,0.25
245,y1,1.0000000000,0.5444440000,1.00
246,y2,0.0000000000,0.5466670000,0.50
246,gt2,0.1430000000,0.5466670000,0.25
246,gt1,0.5710000000,0.5466670000,0.50
246,y1,1.0000000000,0.5466670000,0.50
247,y2,0.0000000000,0.5488890000,0.00
247,gt2,0.1430000000,0.5488890000,0.25
247,gt1,0.5710000000,0.5488890000,0.75
247,y1,1.0000000000,0.5488890000,0.25
248,y2,0.0000000000,0.5511110000,0.75
248,gt2,0.1430000000,0.5511110000,0.00
248,gt1,0.5710000000,0.5511110000,0.25
248,y1,1.0000000000,0.5511110000,0.25
249,y2,0.0000000000,0.5533330000,0.75
249,gt2,0.1430000000,0.5533330000,0.75
249,gt1,0.5710000000,0.5533330000,0.50
249,y1,1.0000000000,0.5533330000,1.00
250,y2,0.0000000000,0.5555560000,1.00
250,gt2,0.1430000000,0.5555560000,0.25
250,gt1,0.5710000000,0.5555560000,0.50
250,y1,1.0000000000,0.5555560000,0.00
251,y2,0.0000000000,0.5577780000,0.25
251,gt2,0.1430000000,0.5577780000,0.75
251,gt1,0.5710000000,0.5577780000,1.00
251,y1,1.0000000000,0.5577780000,0.75
252,y2,0.0000000000,0.5600000000,0.50
252,gt2,0.1430000000,0.5600000000,0.25
252,gt1,0.5710000000,0.5600000000,0.50
252,y1,1.0000000000,0.5600000000,1.00
253,y2,0.0000000000,0.5622220000,1.00
253,gt2,0.1430000000,0.5622220000,0.75
253,gt1,0.5710000000,0.5622220000,0.50
253,y1,1.0000000000,0.5622220000,0.00
254,y2,0.0000000000,0.5644440000,0.75
254,gt2,0.1430000000,0.5644440000,0.50
254,gt1,0.5710000000,0.5644440000,0.00
254,y1,1.0000000000,0.5644440000,0.00
255,y2,0.0000000000,0.5666670000,1.00
255,gt2,0.1430000000,0.5666670000,0.00
255,gt1,0.5710000000,0.5666670000,0.50
255,y1,1.0000000000,0.5666670000,0.25
256,y2,0.0000000000,0.5688890000,0.50
256,gt2,0.1430000000,0.5688890000,0.00
256,gt1,0.5710000000,0.5688890000,0.25
256,y1,1.0000000000,0.5688890000,1.00
257,y2,0.0000000000,0.5711110000,0.00
257,gt2,0.1430000000,0.5711110000,0.50
257,gt1,0.5710000000,0.5711110000,1.00
257,y1,1.0000000000,0.5711110000,1.00
258,y2,0.0000000000,0.5733330000,1.00
258,gt2,0.1430000000,0.5733330000,0.50
258,gt1,0.5710000000,0.5733330000,0.00
258,y1,1.0000000000,0.5733330000,0.75
259,y2,0.0000000000,0.5755560000,1.00
259,gt2,0.1430000000,0.5755560000,0.50
259,gt1,0.5710000000,0.5755560000,0.75
259,y1,1.0000000000,0.5755560000,0.00
260,y2,0.0000000000,0.5777780000,0.75
260,gt2,0.1430000000,0.5777780000,0.00
260,gt1,0.5710000000,0.5777780000,0.25
260,y1,1.0000000000,0.5777780000,0.25
261,y2,0.0000000000,0.5800000000,0.00
261,gt2,0.1430000000,0.5800000000,0.75
261,gt1,0.5710000000,0.5800000000,0.00
261,y1,1.0000000000,0.5800000000,1.00
262,y2,0.0000000000,0.5822220000,1.00
262,gt2,0.1430000000,0.5822220000,0.00
262,gt1,0.5710000000,0.5822220000,0.50
262,y1,1.0000000000,0.5822220000,0.00
263,y2,0.0000000000,0.5844440000,0.00
263,gt2,0.1430000000,0.5844440000,1.00
263,gt1,0.5710000000,0.5844440000,0.25
263,y1,1.0000000000,0.5844440000,0.25
264,y2,0.0000000000,0.5866670000,1.00
264,gt2,0.1430000000,0.5866670000,0.25
264,gt1,0.5710000000,0.5866670000,0.25
264,y1,1.0000000000,0.5866670000,0.00
265,y2,0.0000000000,0.5888890000,1.00
265,gt2,0.1430000000,0.5888890000,0.25
265,gt1,0.5710000000,0.5888890000,0.50
265,y1,1.0000000000,0.5888890000,0.00
266,y2,0.0000000000,0.5911110000,0.50
266,gt2,0.1430000000,0.5911110000,0.75
266,gt1,0.5710000000,0.5911110000,0.25
266,y1,1.0000000000,0.5911110000,0.00
267,y2,0.0000000000,0.5933330000,0.25
267,gt2,0.1430000000,0.5933330000,0.75
267,gt1,0.5710000000,0.5933330000,1.00
267,y1,1.0000000000,0.5933330000,0.75
268,y2,0.0000000000,0.5955560000,1.00
268,gt2,0.1430000000,0.5955560000,0.00
268,gt1,0.5710000000,0.5955560000,0.75
268,y1,1.0000000000,0.5955560000,1.00
269,y2,0.0000000000,0.5977780000,1.00
269,gt2,0.1430000000,0.5977780000,1.00
269,gt1,0.5710000000,0.5977780000,0.50
269,y1,1.0000000000,0.5977780000,1.00
270,y2,0.0000000000,0.6000000000,0.50
270,gt2,0.1430000000,0.6000000000,0.25
270,gt1,0.5710000000,0.6000000000,1.00
270,y1,1.0000000000,0.6000000000,0.75
271,y2,0.0000000000,0.6022220000,0.75
271,gt2,0.1430000000,0.6022220000,0.50
271,gt1,0.5710000000,0.6022220000,1.00
271,y1,1.0000000000,0.6022220000,0.25
272,y2,0.0000000000,0.6044440000,0.75
272,gt2,0.1430000000,0.6044440000,0.50
272,gt1,0.5710000000,0.6044440000,0.25
272,y1,1.0000000000,0.6044440000,0.75
273,y2,0.0000000000,0.6066670000,0.00
273,gt2,0.1430000000,0.6066670000,0.00
273,gt1,0.5710000000,0.6066670000,0.75
273,y1,1.0000000000,0.6066670000,0.50
274,y2,0.0000000000,0.6088890000,0.00
274,gt2,0.1430000000,0.6088890000,1.00
274,gt1,0.5710000000,0.6088890000,1.00
274,y1,1.0000000000,0.6088890000,0.75
275,y2,0.0000000000,0.6111110000,0.25
275,gt2,0.1430000000,0.6111110000,1.00
275,gt1,0.5710000000,0.6111110000,0.25
275,y1,1.0000000000,0.6111110000,0.00
276,y2,0.0000000000,0.6133330000,0.75
276,gt2,0.1430000000,0.6133330000,0.50
276,gt1,0.5710000000,0.6133330000,0.25
276,y1,1.0000000000,0.6133330000,0.75
277,y2,0.0000000000,0.6155560000,0.25
277,gt2,0.1430000000,0.6155560000,0.25
277,gt1,0.5710000000,0.6155560000,0.00
277,y1,1.0000000000,0.6155560000,0.00
278,y2,0.0000000000,0.6177780000,0.00
278,gt2,0.1430000000,0.6177780000,0.00
278,gt1,0.5710000000,0.6177780000,0.00
278,y1,1.0000000000,0.6177780000,0.50
279,y2,0.0000000000,0.6200000000,0.25
279,gt2,0.1430000000,0.6200000000,0.00
279,gt1,0.5710000000,0.6200000000,0.00
279,y1,1.0000000000,0.6200000000,0.00
280,y2,0.0000000000,0.6222220000,0.75
280,gt2,0.1430000000,0.6222220000,1.00
280,gt1,0.5710000000,0.6222220000,0.25
280,y1,1.0000000000,0.6222220000,1.00
281,y2,0.0000000000,0.6244440000,0.75
281,gt2,0.1430000000,0.6244440000,0.75
281,gt1,0.5710000000,0.6244440000,0.25
281,y1,1.0000000000,0.6244440000,0.50
282,y2,0.0000000000,0.6266670000,0.50
282,gt2,0.1430000000,0.6266670000,0.50
282,gt1,0.5710000000,0.6266670000,0.75
282,y1,1.0000000000,0.6266670000,0.50
283,y2,0.0000000000,0.6288890000,0.50
283,gt2,0.1430000000,0.6288890000,0.75
283,gt1,0.5710000000,0.6288890000,0.25
283,y1,1.0000000000,0.6288890000,0.75
284,y2,0.0000000000,0.6311110000,0.75
284,gt2,0.1430000000,0.6311110000,0.00
284,gt1,0.5710000000,0.6311110000,0.75
284,y1,1.0000000000,0.6311110000,0.25
285,y2,0.0000000000,0.6333330000,0.75
285,gt2,0.1430000000,0.6333330000,0.75
285,gt1,0.5710000000,0.6333330000,0.25
285,y1,1.0000000000,0.6333330000,0.50
286,y2,0.0000000000,0.6355560000,0.50
286,gt2,0.1430000000,0.6355560000,1.00
286,gt1,0.5710000000,0.6355560000,0.00
286,y1,1.0000000000,0.6355560000,0.25
287,y2,0.0000000000,0.6377780000,0.50
287,gt2,0.1430000000,0.6377780000,0.75
287,gt1,0.5710000000,0.6377780000,0.25
287,y1,1.0000000000,0.6377780000,0.75
288,y2,0.0000000000,0.6400000000,0.00
288,gt2,0.1430000000,0.6400000000,0.75
288,gt1,0.5710000000,0.6400000000,0.75
288,y1,1.0000000000,0.6400000000,0.75
289,y2,0.0000000000,0.6422220000,1.00
289,gt2,0.1430000000,0.6422220000,1.00
289,gt1,0.5710000000,0.6422220000,0.75
289,y1,1.0000000000,0.6422220000,0.75
290,y2,0.0000000000,0.6444440000,0.75
290,gt2,0.1430000000,0.6444440000,1.00
290,gt1,0.5710000000,0.6444440000,1.00
290,y1,1.0000000000,0.6444440000,0.50
291,y2,0.0000000000,0.6466670000,0.00
291,gt2,0.1430000000,0.6466670000,0.00
291,gt1,0.5710000000,0.6466670000,0.25
291,y1,1.0000000000,0.6466670000,0.50
292,y2,0.0000000000,0.6488890000,0.25
292,gt2,0.1430000000,0.6488890000,0.50
292,gt1,0.5710000000,0.6488890000,0.25
292,y1,1.0000000000,0.6488890000,1.00
293,y2,0.0000000000,0.6511110000,0.50
293,gt2,0.1430000000,0.6511110000,0.75
293,gt1,0.5710000000,0.6511110000,0.50
293,y1,1.0000000000,0.6511110000,0.75
294,y2,0.0000000000,0.6533330000,0.50
294,gt2,0.1430000000,0.6533330000,0.75
294,gt1,0.5710000000,0.6533330000,1.00
294,y1,1.0000000000,0.6533330000,0.75
295,y2,0.0000000000,0.6555560000,0.75
295,gt2,0.1430000000,0.6555560000,1.00
295,gt1,0.5710000000,0.6555560000,0.75
295,y1,1.0000000000,0.6555560000,0.00
